Date,GS,JPM,MSFT
2023-05-10,299.7066650390625,127.46350860595703,305.08502197265625
2023-05-11,298.0062255859375,127.06195068359375,302.93585205078125
2023-05-12,296.8726501464844,125.24077606201172,301.82220458984375
2023-05-15,299.26068115234375,126.29609680175781,302.30096435546875
2023-05-16,298.08984375,125.44622802734375,304.5281982421875
2023-05-17,306.7962341308594,129.30335998535156,307.4064025878906
2023-05-18,306.23870849609375,130.2840118408203,311.83154296875
2023-05-19,303.0516357421875,129.98513793945312,311.6552429199219
2023-05-22,301.9087829589844,128.91111755371094,314.4356384277344
2023-05-23,300.6543884277344,127.5662612915039,308.6399841308594
2023-05-24,297.1606140136719,126.39883422851562,307.25958251953125
2023-05-25,300.9424133300781,126.70704650878906,319.0761413574219
2023-05-26,308.49664306640625,127.89313507080078,325.8998107910156
2023-05-30,307.40020751953125,128.3787841796875,324.2550048828125
2023-05-31,303.2525939941406,126.74439239501953,321.49432373046875
2023-06-01,296.23065185546875,128.4908447265625,325.59625244140625
2023-06-02,303.0185546875,131.18992614746094,328.3570861816406
2023-06-05,301.29583740234375,129.90110778808594,328.8857421875
2023-06-06,305.9676818847656,130.13455200195312,326.6731262207031
2023-06-07,314.34722900390625,131.39535522460938,316.58941650390625
2023-06-08,314.0850830078125,131.4327392578125,318.4299621582031
2023-06-09,314.5999755859375,131.69422912597656,319.92791748046875
2023-06-12,317.8487854003906,131.68490600585938,324.88165283203125
2023-06-13,320.66693115234375,132.63751220703125,327.2703857421875
2023-06-14,316.8469543457031,132.14251708984375,330.2563171386719
2023-06-15,318.0828552246094,133.6368408203125,340.7903747558594
2023-06-16,316.7440185546875,133.7956085205078,335.1415100097656
2023-06-20,309.63787841796875,133.11380004882812,330.95135498046875
2023-06-21,304.34808349609375,132.917724609375,326.5556945800781
2023-06-22,299.20794677734375,130.3587188720703,332.5765380859375
2023-06-23,294.6484069824219,129.67694091796875,327.9849548339844
2023-06-26,292.4482116699219,129.99444580078125,321.6998291015625
2023-06-27,293.46875,130.00381469726562,327.5445251464844
2023-06-28,293.6654052734375,129.4341278076172,328.797607421875
2023-06-29,302.49420166015625,133.9543914794922,328.0143737792969
2023-06-30,301.9792785644531,135.83157348632812,333.38909912109375
2023-07-03,305.78985595703125,136.92428588867188,330.8927001953125
2023-07-05,299.6479797363281,136.01214599609375,331.0492858886719
2023-07-06,293.0474853515625,134.66744995117188,334.10382080078125
2023-07-07,295.0791320800781,135.7300262451172,330.13885498046875
2023-07-10,296.2962341308594,136.49172973632812,324.8620300292969
2023-07-11,300.4251403808594,138.62631225585938,325.48858642578125
2023-07-12,305.5932312011719,139.31277465820312,330.1192932128906
2023-07-13,307.7279357910156,139.98980712890625,335.464599609375
2023-07-14,305.3966369628906,140.8361358642578,337.99041748046875
2023-07-17,306.3422546386719,144.23080444335938,338.4701843261719
2023-07-18,315.770263671875,144.49411010742188,351.941162109375
2023-07-19,318.8411865234375,145.0489044189453,347.62384033203125
2023-07-20,328.49395751953125,146.83555603027344,339.5862121582031
2023-07-21,329.52386474609375,145.7071533203125,336.55126953125
2023-07-24,336.049560546875,148.57522583007812,337.8631591796875
2023-07-25,332.0892028808594,147.46563720703125,343.60992431640625
2023-07-26,334.76690673828125,148.3494873046875,330.6772155761719
2023-07-27,331.911376953125,146.7133026123047,323.7752990722656
2023-07-28,330.7129211425781,147.5502471923828,331.2646789550781
2023-07-31,333.1846008300781,148.53761291503906,328.86614990234375
2023-08-01,334.91668701171875,147.80410766601562,329.2773132324219
2023-08-02,328.7186584472656,146.13027954101562,320.62298583984375
2023-08-03,330.6473693847656,147.02365112304688,319.8005676269531
2023-08-04,330.70355224609375,146.7133026123047,320.8970642089844
2023-08-07,332.8944396972656,147.40916442871094,323.17816162109375
2023-08-08,326.05975341796875,146.58169555664062,319.203369140625
2023-08-09,320.8448181152344,144.6163330078125,315.4635925292969
2023-08-10,318.7007751464844,144.40005493164062,316.14892578125
2023-08-11,319.0097351074219,145.23699951171875,314.26922607421875
2023-08-14,316.2103576660156,145.53790283203125,317.2356262207031
2023-08-15,311.0328369140625,141.83290100097656,315.10137939453125
2023-08-16,308.13043212890625,141.23109436035156,314.33612060546875
2023-08-17,306.641845703125,139.76414489746094,310.8828125
2023-08-18,304.2169494628906,140.0838623046875,310.4903869628906
2023-08-21,301.5298767089844,140.5634307861328,315.78814697265625
2023-08-22,298.4684143066406,137.6483612060547,316.3571472167969
2023-08-23,301.7826843261719,138.5792999267578,320.81121826171875
2023-08-24,299.5637512207031,138.44766235351562,313.9142761230469
2023-08-25,299.7416687011719,138.2783966064453,316.867431640625
2023-08-28,305.1906433105469,138.7579803466797,317.57373046875
2023-08-29,311.3511962890625,139.88638305664062,322.194580078125
2023-08-30,310.1994323730469,139.32217407226562,322.56732177734375
2023-08-31,309.3780822753906,137.60133361816406,321.5568542480469
2023-09-01,309.08551025390625,138.06211853027344,322.4398193359375
2023-09-05,305.6396179199219,136.53875732421875,327.2372741699219
2023-09-06,303.16619873046875,136.3130645751953,326.5799865722656
2023-09-07,303.94976806640625,135.14700317382812,323.66619873046875
2023-09-08,307.31060791015625,135.25045776367188,327.9436340332031
2023-09-11,306.4892883300781,135.8428955078125,331.544189453125
2023-09-12,312.3896484375,137.61073303222656,325.490966796875
2023-09-13,316.2414245605469,137.6765899658203,329.6997375488281
2023-09-14,325.29498291015625,140.34715270996094,332.2898254394531
2023-09-15,323.3785400390625,139.93338012695312,323.9703369140625
2023-09-18,324.11492919921875,140.2248992919922,322.8322448730469
2023-09-19,322.7649230957031,140.0462188720703,322.4300231933594
2023-09-20,317.865234375,139.4538116455078,314.69915771484375
2023-09-21,311.7666015625,138.36302185058594,313.4826354980469
2023-09-22,309.5480651855469,137.03712463378906,311.01031494140625
2023-09-25,310.44488525390625,137.71417236328125,311.5302734375
2023-09-26,305.7057189941406,136.2848358154297,306.2324523925781
2023-09-27,303.9403381347656,137.08412170410156,306.8701477050781
2023-09-28,307.0085144042969,138.7861785888672,307.7041320800781
2023-09-29,305.46966552734375,136.36947631835938,309.7741394042969
2023-10-02,300.6832580566406,135.1940155029297,315.7096862792969
2023-10-03,288.995849609375,134.19728088378906,307.4588623046875
2023-10-04,291.3371887207031,134.7991180419922,312.92340087890625
2023-10-05,293.1308288574219,135.36746215820312,313.3158264160156
2023-10-06,295.0000915527344,137.4514923095703,321.06634521484375
2023-10-09,295.1227722167969,137.138916015625,323.5778503417969
2023-10-10,297.1619567871094,137.97250366210938,322.1748962402344
2023-10-11,295.50982666015625,138.44613647460938,326.128662109375
2023-10-12,292.5172119140625,138.12405395507812,324.8924865722656
2023-10-13,291.9979248046875,140.19863891601562,321.5274353027344
2023-10-16,296.80322265625,140.0565643310547,326.344482421875
2023-10-17,292.05462646484375,139.75341796875,325.77545166015625
2023-10-18,285.06854248046875,138.21881103515625,323.8623352050781
2023-10-19,282.4534912109375,137.6314697265625,325.0495300292969
2023-10-20,283.265380859375,135.41482543945312,320.4875183105469
2023-10-23,282.4817810058594,133.56761169433594,323.0873718261719
2023-10-24,282.4440612792969,133.72865295410156,324.2744445800781
2023-10-25,280.1594543457031,132.99923706054688,334.2225341796875
2023-10-26,280.3765563964844,133.3402557373047,321.6844177246094
2023-10-27,273.692626953125,128.53750610351562,323.5680847167969
2023-10-30,284.00177001953125,130.1763153076172,330.9261779785156
2023-10-31,286.6262512207031,131.72984313964844,331.7109680175781
2023-11-01,289.97772216796875,131.6162109375,339.5203552246094
2023-11-02,296.2084655761719,133.96548461914062,341.7277526855469
2023-11-03,309.29315185546875,135.46217346191406,346.1229248046875
2023-11-06,305.7906494140625,136.4853057861328,349.7823791503906
2023-11-07,305.8284606933594,136.41893005371094,353.7066955566406
2023-11-08,306.40435791015625,137.09152221679688,356.326171875
2023-11-09,302.8357849121094,136.68418884277344,353.86358642578125
2023-11-10,307.30120849609375,138.71139526367188,362.6736755371094
2023-11-13,308.62286376953125,138.0956573486328,359.74029541015625
2023-11-14,319.772216796875,140.61544799804688,363.2623291015625
2023-11-15,318.7148742675781,141.846923828125,363.4098205566406
2023-11-16,317.8369140625,143.46678161621094,369.79974365234375
2023-11-17,320.21588134765625,144.76455688476562,363.58673095703125
2023-11-20,320.4613952636719,145.20980834960938,371.0481872558594
2023-11-21,316.23199462890625,144.9066619873047,366.7522277832031
2023-11-22,319.6967468261719,145.2476806640625,371.45123291015625
2023-11-24,320.1781311035156,145.44659423828125,371.038330078125
2023-11-27,318.8186950683594,145.1150665283203,372.1983947753906
2023-11-28,318.7620849609375,145.44659423828125,376.2191467285156
2023-11-29,323.8638000488281,146.1855010986328,372.4343566894531
2023-11-30,325.08209228515625,147.8527374267578,372.4933166503906
2023-12-01,331.64007568359375,148.57266235351562,368.1678771972656
2023-12-04,332.5538635253906,149.6620635986328,362.88873291015625
2023-12-05,325.281982421875,149.64309692382812,366.2115478515625
2023-12-06,325.4914245605469,148.0706024169922,362.5545654296875
2023-12-07,328.013671875,148.52525329589844,364.6680908203125
2023-12-08,333.9244384765625,150.16412353515625,367.892578125
2023-12-11,334.80963134765625,150.71353149414062,365.0121154785156
2023-12-12,335.6186828613281,152.05868530273438,368.03997802734375
2023-12-13,345.25103759765625,152.57022094726562,368.0301818847656
2023-12-14,364.9916076660156,155.34579467773438,359.7331237792969
2023-12-15,362.17431640625,156.52040100097656,364.45184326171875
2023-12-18,358.26226806640625,157.46768188476562,366.33929443359375
2023-12-19,364.020751953125,159.57066345214844,366.9389953613281
2023-12-20,359.3283386230469,157.77084350585938,364.34368896484375
2023-12-21,362.2313537597656,158.6707305908203,367.2142639160156
2023-12-22,362.3075256347656,158.57601928710938,368.236572265625
2023-12-26,363.2212219238281,159.51382446289062,368.3152770996094
2023-12-27,365.9529113769531,160.4705810546875,367.73529052734375
2023-12-28,367.7899169921875,161.3231658935547,368.9247741699219
2023-12-29,367.1807556152344,161.13372802734375,369.671875
2024-01-02,369.5888671875,163.00933837890625,364.5894775390625
2024-01-03,363.392578125,162.29885864257812,364.32403564453125
